City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,changyon,38.2508,125.0961,295.03,45,95,2.4,KP,1696302191
134,baruun-urt,46.6806,113.2792,282.35,27,17,4.48,MN,1696302192
135,naze,28.3667,129.4833,298.66,92,100,5.19,JP,1696302146
136,tateyama,34.9833,139.8667,297.53,52,40,2.35,JP,1696302114
137,san julian,21.0167,-102.1667,292.55,52,100,2.4,MX,1696302149
138,teofilo otoni,-17.8575,-41.5053,295.44,78,100,1.07,BR,1696302166
139,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,85,75,6.71,RU,1696302124
140,tsiombe,-25.3,45.4833,290.79,52,18,4.99,MG,1696302118
141,mokhotlong,-29.2894,29.0675,282.14,49,0,0.73,LS,1696302192
142,uige,-7.6087,15.0613,294.32,94,100,0.67,AO,1696302192
143,newman,37.3138,-121.0208,295.14,52,33,0.89,US,1696302162
144,papatowai,-46.5619,169.4708,286.91,42,5,4.31,NZ,1696302130
145,west island,-12.1568,96.8225,300.14,65,40,5.14,CC,1696302119
146,torghay,49.6339,63.4981,284.84,59,93,2.14,KZ,1696302175
147,hermanus,-34.4187,19.2345,287.49,92,3,1.75,ZA,1696302121
148,kavaratti,10.5669,72.642,300.88,74,100,3.04,IN,1696302169
149,isafjordur,66.0755,-23.124,274.21,93,100,6.98,IS,1696302148
150,pocone,-16.2567,-56.6228,301.84,49,35,1.93,BR,1696302192
151,praia,14.9215,-23.5087,298.45,88,20,2.57,CV,1696302192
152,mata-utu,-13.2816,-176.1745,300.04,83,4,12.07,WF,1696302193
153,pisco,-13.7,-76.2167,291.49,88,0,7.72,PE,1696302138
154,badger,64.8,-147.5333,277.03,71,99,0.89,US,1696302133
155,ilulissat,69.2167,-51.1,270.16,36,0,9.77,GL,1696302127
156,aldan,58.6031,125.3894,272.15,96,100,2.68,RU,1696302155
157,pizarro,4.9533,-77.366,298.64,90,100,2.49,CO,1696302193
158,isla vista,34.4133,-119.861,290.94,77,0,0.0,US,1696302193
159,imbert,19.7537,-70.8291,300.32,88,100,1.54,DO,1696302193
160,dwarka,22.2394,68.9678,300.36,71,2,2.91,IN,1696302193
161,amahai,-3.3333,128.9167,301.25,77,95,1.13,ID,1696302193
162,vrbno pod pradedem,50.1209,17.3832,288.02,76,56,3.43,CZ,1696302193
163,trongsa,27.5026,90.5072,292.91,86,85,1.98,BT,1696302194
164,hamilton,39.1834,-84.5333,295.04,81,0,0.0,US,1696302103
165,ola,59.5833,151.2833,283.38,55,83,4.11,RU,1696302124
166,cumaral,4.2708,-73.4867,297.03,78,99,3.39,CO,1696302194
167,vernon,50.2581,-119.2691,286.27,88,99,0.51,CA,1696302088
168,two rivers,44.1539,-87.5693,294.84,87,0,3.09,US,1696302190
169,st. john's,47.5649,-52.7093,281.98,96,20,2.06,CA,1696302070
170,linamon,8.186,124.1628,304.26,64,89,1.82,PH,1696302194
171,phalaborwa,-23.943,31.1411,286.75,74,0,1.14,ZA,1696302194
172,chonchi,-42.6128,-73.8092,279.71,97,68,0.63,CL,1696302145
173,piacabucu,-10.4056,-36.4344,296.53,81,4,5.08,BR,1696302164
174,eldama ravine,0.0516,35.7308,284.91,84,79,1.9,KE,1696302194
175,satwas,22.5333,76.6833,297.9,65,99,0.47,IN,1696302194
176,homestead meadows north,31.8496,-106.1729,300.86,31,40,5.14,US,1696302194
177,klyuchi,52.2667,79.1667,280.1,44,16,4.22,RU,1696302142
178,ibaan,13.8176,121.133,303.59,73,100,4.85,PH,1696302195
179,sungai raya,0.7,108.9,303.42,59,100,2.98,ID,1696302195
180,daru,-9.0763,143.2092,300.21,75,64,4.92,PG,1696302149
181,uturoa,-16.7333,-151.4333,299.12,83,3,7.19,PF,1696302150
182,penapolis,-21.4197,-50.0775,297.0,82,3,2.87,BR,1696302171
183,isabela,6.7085,121.9711,304.18,67,13,1.36,PH,1696302195
184,piterka,50.6803,47.4454,289.88,58,99,1.79,RU,1696302195
185,touros,-5.1989,-35.4608,297.99,83,17,5.66,BR,1696302160
186,bardai,11.65,7.2333,294.12,85,100,2.67,NG,1696302157
187,kavieng,-2.5744,150.7967,301.78,73,72,1.94,PG,1696302195
